mass, radius
1.1448702175543883, 1.0387626212320225
1.4352468117029251, 1.1097772757958504
2.0885941485371338, 1.2235419282558304
2.4308237059264814, 1.2718022695306823
2.773053263315829, 1.3147293829887392
3.115282820705176, 1.3543745100979967
3.4575123780945236, 1.3895069059776572
3.8114088522130527, 1.4242239754715609
4.048636159039759, 1.43991528023464
4.4608672168042, 1.4848631666077559
4.857542385596398, 1.5115617747052257
5.1997719429857465, 1.5356174666576923
5.542001500375093, 1.5600834069037592
5.88423105776444, 1.5820878573882267
6.226460615153787, 1.6036820595790955
6.5686901725431355, 1.6244557651827636
6.910919729932482, 1.6439987259056332
7.253149287321829, 1.6611485715825043
7.45537584396099, 1.6663254044196578
7.999831957989496, 1.7042415180904738
8.342061515378845, 1.7180410027029458
8.687747936984245, 1.734482805032052
9.026520630157538, 1.7489219582766902
9.368750187546887, 1.7643624360635615
9.710979744936234, 1.7781619206760344
10.05320930232558, 1.791961405288507
10.395438859714927, 1.8065813864881792
10.644333083270817, 1.8147600693862258
1.7704426106526632, 1.1646135146409016
7.726931732933233, 1.679975216872771
0.9752438109527382, 0.9908573443687363
